124,"Lewis, Greg",MIN,17,1.4,12,5,16,31,193,12.1,0,0,0,0,16,193,193,0,0,0,2010
125,"Johnson, Bryant",DET,17,1.2,14,7,18,49,210,11.7,0,0,0,0,18,210,210,0,1,0,2010
126,"Hall, Chad",PHI,16,1.8,9,1,11,18,115,10.5,1,9,29,0,20,144,240,1,0,0,2010
127,"Cooper, Riley",PHI,16,1.2,13,2,7,18,116,16.6,1,0,0,0,7,116,125,1,0,0,2010
128,"Tucker, Verran",KC,15,1.4,11,2,6,19,114,19,1,0,0,0,6,114,187,1,0,0,2010
129,"Decker, Eric",DEN,14,1,14,0,6,8,106,17.7,1,0,0,0,6,106,662,1,0,1,2010
130,"Galloway, Joey",WAS,14,1.4,10,3,12,38,173,14.4,0,0,0,0,12,173,173,0,0,0,2010
131,"Briscoe, Dezmon",TB,14,7,2,0,6,7,93,15.5,1,0,0,0,6,93,93,1,0,0,2010
132,"Brown, Antonio",PIT,14,1.6,9,0,16,15,167,10.4,0,0,0,0,16,167,674,1,0,0,2010
133,"Mathews, Ryan",SD,13,13,1,0,3,3,28,9.3,0,12,55,1,15,83,83,1,0,0,2010
134,"Roosevelt, Naaman",BUF,13,2.2,6,1,9,17,139,15.4,0,1,3,0,10,142,173,0,0,0,2010
135,"Stovall, Maurice",TB,13,1.1,12,1,7,9,81,11.6,1,0,0,0,7,81,81,1,0,0,2010
136,"Davis, Rashied",CHI,13,0.9,14,0,9,14,84,9.3,1,0,0,0,9,84,154,1,0,0,2010
137,"Aromashodu, Devin",CHI,13,0.9,14,2,10,24,149,14.9,0,0,0,0,10,149,149,0,0,0,2010
138,"McCluster, Dexter",KC,11,1.4,8,4,13,30,112,8.6,0,13,41,0,26,153,751,1,0,1,2010
139,"Copper, Terrance",KC,11,0.7,16,3,18,28,157,8.7,0,0,0,0,18,157,183,0,0,0,2010
140,"Stallworth, Donte",BAL,11,1.6,7,0,2,4,82,41,0,5,45,0,7,127,127,0,0,1,2010
141,"Clowney, David",NYJ,10,0.8,13,0,7,16,124,17.7,0,0,0,0,7,124,124,0,0,0,2010
142,"Underwood, Tiquan",JAX,10,1,10,0,8,22,111,13.9,0,0,0,0,8,111,672,0,0,0,2010
143,"Osgood, Kassim",JAX,10,0.6,16,3,6,15,60,10,1,0,0,0,6,60,60,1,0,0,2010
144,"Schilens, Chaz",OAK,9,1.8,5,0,5,9,40,8,1,0,0,0,5,40,40,1,0,0,2010
145,"Hurd, Sam",DAL,9,0.6,15,0,14,19,120,8.6,0,0,0,0,14,120,120,0,0,0,2010
146,"Anderson, David",HOU,8,0.7,12,1,11,18,117,10.6,0,0,0,0,11,117,143,0,0,0,2010
147,"Higgins, Johnnie Lee",OAK,8,0.6,13,1,10,30,103,10.3,0,0,0,0,10,103,226,0,0,0,2010
148,"Komar, Max",ARI,8,1,8,0,12,22,117,9.8,0,0,0,0,12,117,148,0,0,1,2010
149,"Williams, Roydell",WAS,8,0.5,16,0,8,18,109,13.6,0,0,0,0,8,109,109,0,0,0,2010
