156,"Fauria, Joseph",DET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
157,"Washington, Leon",NE,0,0,7,0,1,1,1,0,0,0,0,0,0,1,1,579,0,0,0,2013
158,"Larsen, Spencer",TB,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
159,"Spann, Chad",HOU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
160,"Rodriguez, Evan",BUF,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
161,"Burkhead, Rex",CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
162,"Starling, Jawanza",HOU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
163,"Otto, Mike",TEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
164,"Vaughan, Josh",ATL,0,0,6,0,1,1,1,0,1,-5,0,0,0,2,-4,-4,0,0,0,2013
165,"Taylor, Curtis",ARI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
166,"Robinson, Denard",JAX,0,0,1,0,2,1,0.5,0,0,0,0,0,0,2,1,1,0,0,0,2013
167,"Ford, Michael",CHI,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2013
168,"Leshoure, Mikel",DET,0,0,3,0,2,9,4.5,0,0,0,0,0,0,2,9,9,0,0,0,2013
169,"Hughes, Robert",IND,0,0,1,0,0,0,0,0,1,6,0,0,0,1,6,6,0,0,0,2013
170,"Tucker, Matthew",PHI,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
171,"Rainey, Chris",IND,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,2013
172,"Wingo, Ronnie",BUF,0,0,2,0,1,4,4,0,1,2,0,0,0,2,6,6,0,0,0,2013
173,"Brock, Tramaine",SF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
174,"Reynolds, Chase",STL,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
175,"Boyce, Josh",NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
176,"Redman, Isaac",PIT,0,0,4,1,10,12,1.2,0,4,14,0,0,0,14,26,26,0,0,0,2013
177,"Newhouse, Marshall",GB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
178,"Barner, Kenjon",CAR,0,0,7,0,6,7,1.2,0,2,7,0,0,0,8,14,31,0,0,0,2013
179,"Crawford, Tyrone",DAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
180,"Short, Kawann",CAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
181,"Stingily, Byron",TEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
182,"Charles, Orson",CIN,0,0,13,0,0,0,0,0,1,8,0,0,0,1,8,8,0,0,0,2013
183,"Willson, Luke",SEA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
184,"Owens, Montell",DET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
185,"Johnson, Quinn",TEN,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
186,"Thomas, Dallas",MIA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
187,"Royster, Evan",WAS,0,0,10,0,2,0,0,0,1,3,0,0,0,3,3,3,0,0,0,2013
188,"Reid, Eric",SF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
189,"Clutts, Tyler",MIA,0,0,8,1,0,0,0,0,1,4,0,0,0,1,4,16,0,0,1,2013
190,"Smelley, Brad",HOU,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
191,"Reynaud, Darius",TEN,0,0,9,0,1,0,0,0,1,4,0,0,0,2,4,569,0,0,1,2013
192,"Byham, Nate",TB,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2013
